Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20070402;43.0;49.5;49.0;45.0;87600
20070403;46.0;53.0;49.75;49.0;208800
20070404;47.25;51.0;49.0;49.75;61600
20070405;45.25;50.0;49.25;49.0;62800
20070410;45.0;49.5;48.0;49.25;48900
20070411;45.0;48.5;46.0;48.0;59600
20070412;41.0;46.5;44.25;46.0;49000
20070413;40.25;45.0;44.0;44.25;36900
20070416;41.0;44.0;41.25;44.0;23300
20070417;41.0;42.0;41.25;41.25;27000
20070418;37.0;41.0;40.25;41.25;58100
20070419;38.0;41.0;39.5;40.25;34500
20070420;39.25;43.0;40.5;39.5;32000
20070423;39.5;43.0;41.0;40.5;32700
20070424;37.25;45.0;43.0;41.0;31200
20070425;40.0;45.0;44.0;43.0;39100
20070426;42.75;46.0;44.5;44.0;18300
20070427;40.25;44.0;42.25;44.5;31600
20070430;40.0;43.0;41.25;42.25;6400
