Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20070702;22.5;24.0;23.5;23.5;772500
20070703;23.5;24.5;23.75;23.5;1265000
20070704;24.0;25.0;24.25;23.75;3014000
20070705;22.75;26.5;24.5;24.25;4236400
20070706;23.0;25.0;23.75;24.5;2299500
20070709;23.0;24.0;23.25;23.75;1989200
20070710;21.0;24.0;23.0;23.25;4528000
20070711;23.0;25.25;23.25;23.0;2675500
20070712;23.0;24.25;23.75;23.25;1468700
20070713;21.5;25.0;24.0;23.75;1131800
20070716;24.0;25.0;24.25;24.0;1112800
20070717;24.0;25.0;24.75;24.25;1284000
20070718;24.0;27.0;25.5;24.75;1817800
20070719;25.0;28.0;25.75;25.5;1054300
20070720;25.5;28.25;25.75;25.75;936300
20070723;25.75;28.25;26.0;25.75;1200000
20070724;23.5;27.75;26.5;26.0;1482000
20070725;26.5;29.0;26.75;26.5;2442000
20070726;27.0;28.0;27.25;26.75;1162900
20070727;26.75;28.0;27.25;27.25;3118500
20070730;27.5;28.5;28.0;27.25;1702500
20070731;28.0;30.75;28.25;28.0;2491700
