Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20070702;105.0;114.0;110.75;104.5;12700
20070703;110.0;114.0;112.25;110.75;3000
20070704;105.0;110.0;106.5;112.25;3500
20070705;103.0;110.0;107.0;106.5;15200
20070706;108.0;110.0;109.75;107.0;54400
20070709;110.0;110.0;110.0;109.75;11800
20070710;110.0;111.0;110.0;110.0;12200
20070711;107.0;110.0;109.75;110.0;11800
20070712;105.0;110.0;107.0;109.75;36000
20070713;102.0;110.0;108.5;107.0;29000
20070716;104.0;108.0;106.25;108.5;30900
20070717;105.0;110.0;108.0;106.25;19100
20070718;105.0;110.0;108.25;108.0;45700
20070719;105.0;109.0;107.5;108.25;10900
20070720;103.0;110.0;108.75;107.5;8700
20070723;102.0;110.0;106.0;108.75;3500
20070724;105.0;111.0;109.25;106.0;12500
20070725;107.0;115.0;113.75;109.25;29200
20070726;131.0;150.0;147.5;113.75;71100
20070727;157.0;161.0;160.5;147.5;178600
20070730;148.0;172.0;160.5;160.5;168500
20070731;147.0;167.0;150.25;160.5;60400
