Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20080201;44.0;47.0;45.5;45.75;219100
20080204;45.0;47.0;45.5;45.5;121900
20080205;45.0;47.5;45.75;45.5;99900
20080206;45.25;46.5;45.75;45.75;123100
20080207;45.25;46.0;45.75;45.75;110300
20080208;44.0;46.0;45.25;45.75;142900
20080211;45.75;47.0;46.0;45.25;456800
20080212;45.75;47.0;46.0;46.0;213100
20080213;46.0;47.25;46.25;46.0;387500
20080214;46.5;49.75;46.5;46.25;357200
20080215;46.0;50.0;47.5;46.5;215400
20080218;46.5;49.0;46.75;47.5;333100
20080219;47.0;49.5;47.75;46.75;133400
20080220;46.0;48.5;46.75;47.75;185400
20080221;44.5;47.0;46.25;46.75;200700
20080222;46.0;48.25;46.0;46.25;120500
20080225;46.25;48.0;46.75;46.0;186700
20080226;46.0;47.0;46.25;46.75;176600
20080227;44.5;46.5;45.5;46.25;145900
20080228;44.0;46.0;45.25;45.5;114900
20080229;47.0;50.0;48.5;45.25;372700
