Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20080303;99.86;99.86;99.86;98.6;-
20080304;102.08;102.08;102.08;99.86;-
20080305;103.09;103.09;103.09;102.08;-
20080306;103.69;103.69;103.69;103.09;-
20080307;102.19;102.19;102.19;103.69;-
20080310;101.75;101.75;101.75;102.19;-
20080311;100.73;100.73;100.73;101.75;-
20080312;99.22;99.22;99.22;100.73;-
20080313;99.19;99.19;99.19;99.22;-
20080314;97.07;97.07;97.07;99.19;-
20080317;95.15;95.15;95.15;97.07;-
20080318;93.98;93.98;93.98;95.15;-
20080319;94.59;94.59;94.59;93.98;-
20080320;95.51;95.51;95.51;94.59;-
20080325;95.64;95.64;95.64;95.51;-
20080326;94.99;94.99;94.99;95.64;-
20080327;94.98;94.98;94.98;94.99;-
20080328;94.77;94.77;94.77;94.98;-
20080331;94.64;94.64;94.64;94.77;-
