Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20080603;27.0;28.0;27.7;27.05;80900
20080604;27.5;28.5;28.05;27.7;397100
20080605;28.0;29.0;28.45;28.05;623800
20080606;28.5;30.0;28.9;28.45;93200
20080609;27.0;29.25;28.4;28.9;744300
20080610;28.0;28.75;28.25;28.4;396500
20080611;28.0;28.75;28.45;28.25;145400
20080612;28.25;29.0;28.5;28.45;373000
20080613;28.5;30.0;28.8;28.5;154600
20080616;28.5;29.0;28.65;28.8;137100
20080617;28.25;28.75;28.45;28.65;201500
20080618;28.0;28.5;28.15;28.45;64700
20080619;27.25;28.25;27.75;28.15;108500
20080620;27.0;28.0;27.15;27.75;111000
20080623;27.0;28.0;27.3;27.15;102400
20080624;27.0;27.5;27.2;27.3;180900
20080625;27.0;28.0;27.2;27.2;113700
20080626;26.5;27.5;27.1;27.2;112900
20080627;26.5;27.25;26.9;27.1;77300
20080630;25.5;26.75;26.25;26.9;151000
