Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20080603;79.0;79.0;79.0;72.0;500
20080604;78.0;80.0;78.0;79.0;4600
20080605;75.0;78.0;77.5;78.0;6100
20080610;73.0;73.0;73.0;77.5;100
20080611;70.0;75.0;70.0;73.0;203000
20080618;71.0;71.0;71.0;70.0;200
20080619;71.0;72.0;71.5;71.0;2700
20080623;72.0;72.0;72.0;71.5;200
20080624;72.0;73.0;72.5;72.0;173900
20080625;73.0;73.0;73.0;72.5;1000
20080626;74.0;74.0;74.0;73.0;1000
20080627;74.0;74.0;74.0;74.0;100
20080630;71.0;74.0;73.0;74.0;11800
