Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20090401;12.5;12.9;12.75;12.65;137300
20090402;12.5;12.95;12.7;12.75;62400
20090403;12.2;12.95;12.5;12.7;2726400
20090406;11.75;13.0;12.65;12.5;296200
20090407;12.05;12.8;12.4;12.65;269600
20090408;11.5;12.3;11.95;12.4;119800
20090409;11.0;12.0;11.6;11.95;142600
20090414;11.05;11.8;11.2;11.6;98500
20090415;11.4;12.0;11.55;11.2;139800
20090416;11.7;12.05;11.95;11.55;553200
20090417;11.6;12.5;11.75;11.95;104700
20090420;11.5;12.45;11.65;11.75;91400
20090421;11.7;12.0;11.85;11.65;52200
20090422;11.75;12.0;11.85;11.85;244700
20090423;11.85;12.0;11.95;11.85;350900
20090424;11.95;12.25;12.0;11.95;383800
20090427;12.0;12.5;12.25;12.0;78500
20090428;12.25;12.5;12.3;12.25;76000
20090429;12.05;12.5;12.3;12.3;33900
20090430;11.5;12.4;11.95;12.3;211000
