Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20090803;83.5;91.5;88.5;83.5;3000
20090804;88.5;88.5;88.5;88.5;-
20090805;88.0;97.0;96.0;88.5;29900
20090806;96.0;100.0;98.5;96.0;7500
20090807;90.0;97.0;92.5;98.5;9500
20090810;85.0;85.0;85.0;92.5;100
20090811;85.0;85.0;85.0;85.0;100
20090812;85.0;85.0;85.0;85.0;-
20090813;85.0;85.0;85.0;85.0;-
20090814;85.0;85.0;85.0;85.0;-
20090817;85.0;85.0;85.0;85.0;-
20090818;85.0;85.0;85.0;85.0;-
20090819;85.0;85.0;85.0;85.0;-
20090820;85.0;85.0;85.0;85.0;-
20090821;85.0;85.0;85.0;85.0;-
20090824;85.0;85.0;85.0;85.0;-
20090825;85.0;85.0;85.0;85.0;-
20090826;85.0;85.0;85.0;85.0;-
20090827;85.0;85.0;85.0;85.0;-
20090828;85.0;85.0;85.0;85.0;-
20090831;85.0;85.0;85.0;85.0;-
