Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20090803;54.0;55.5;55.0;54.5;12400
20090804;54.0;58.0;54.0;55.0;9900
20090805;55.0;55.0;55.0;54.0;300
20090806;53.5;54.0;53.5;55.0;400
20090807;50.0;54.0;50.0;53.5;13900
20090810;50.0;50.0;50.0;50.0;-
20090811;50.0;52.0;50.0;50.0;100000
20090812;55.0;55.0;55.0;50.0;400
20090813;56.0;56.0;56.0;55.0;600
20090814;55.0;55.0;55.0;56.0;500
20090817;57.0;57.0;57.0;55.0;100
20090818;49.75;51.0;50.0;57.0;10200
20090819;50.0;55.0;50.5;50.0;28100
20090820;51.0;51.0;51.0;50.5;900
20090821;52.0;52.0;52.0;51.0;4800
20090824;53.0;53.0;53.0;52.0;900
20090825;53.0;53.0;53.0;52.0;900
20090826;51.0;52.5;51.0;53.0;1200
20090827;52.5;52.5;52.5;51.0;200
20090828;53.0;53.0;53.0;52.5;500
20090831;52.0;54.0;52.5;53.0;400
