Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20100201;14.5;14.5;14.5;14.5;-
20100202;14.5;14.5;14.5;14.5;-
20100203;14.5;14.5;14.5;14.5;-
20100204;14.5;14.5;14.5;14.5;-
20100205;14.5;14.5;14.5;14.5;-
20100208;14.5;14.5;14.5;14.5;-
20100209;14.5;14.5;14.5;14.5;-
20100210;14.5;14.5;14.5;14.5;-
20100211;14.5;14.5;14.5;14.5;-
20100212;14.5;14.5;14.5;14.5;-
20100215;14.5;14.5;14.5;14.5;-
20100216;14.5;14.5;14.5;14.5;-
20100217;14.5;14.5;14.5;14.5;-
20100218;14.5;14.5;14.5;14.5;-
20100219;14.5;14.5;14.5;14.5;-
20100222;14.5;14.5;14.5;14.5;-
20100223;14.5;14.5;14.5;14.5;-
20100224;14.5;14.5;14.5;14.5;-
20100225;14.5;14.5;14.5;14.5;-
20100226;14.5;14.5;14.5;14.5;-
