Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20100401;125.0;127.0;125.0;125.0;7200
20100406;124.0;125.0;124.0;125.0;200
20100407;124.0;125.0;124.0;124.0;11700
20100408;120.0;125.0;124.0;124.0;26700
20100409;121.0;125.0;124.0;124.0;5900
20100412;124.0;125.0;124.0;124.0;3200
20100413;124.0;125.0;124.0;124.0;4000
20100414;126.0;130.0;127.0;124.0;300
20100415;127.0;127.0;127.0;127.0;800
20100416;126.0;126.0;126.0;127.0;5000
20100419;126.0;126.0;126.0;126.0;-
20100420;128.0;128.0;128.0;126.0;2100
20100421;130.0;130.0;130.0;128.0;100
20100422;130.0;130.0;130.0;130.0;2300
20100423;130.0;137.0;134.0;130.0;3500
20100426;137.0;137.0;137.0;134.0;100
20100427;137.0;140.0;138.0;137.0;800
20100428;134.0;145.0;141.0;138.0;5300
20100429;145.0;145.0;145.0;141.0;800
20100430;145.0;145.0;145.0;145.0;1600
