Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20100401;63.0;66.0;64.0;63.5;65000
20100406;63.0;64.0;63.5;64.0;13100
20100407;63.0;64.5;63.5;63.5;50400
20100408;60.0;63.5;60.5;63.5;41000
20100409;63.0;64.0;63.5;60.5;12800
20100412;63.5;64.0;63.5;63.5;15800
20100413;63.5;64.0;63.5;63.5;3800
20100414;61.0;64.0;63.5;63.5;6900
20100415;62.0;64.0;62.5;63.5;17300
20100416;61.0;64.0;63.5;62.5;29300
20100419;62.0;66.0;65.0;63.5;6700
20100420;62.0;65.0;64.5;65.0;5000
20100421;64.0;67.0;66.5;64.5;12000
20100422;65.0;67.0;66.5;66.5;22100
20100423;65.0;66.0;65.5;66.5;7900
20100426;60.0;66.0;61.0;65.5;65400
20100427;58.0;61.0;59.0;61.0;89900
20100428;59.0;61.0;59.5;59.0;4300
20100429;60.0;65.0;63.5;59.5;4400
20100430;64.0;64.0;64.0;63.5;19100
