Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20110103;19.0;19.85;19.45;19.0;436100
20110104;19.4;19.7;19.45;19.45;4073900
20110105;19.5;19.85;19.5;19.45;1664500
20110106;19.5;20.0;19.8;19.5;716800
20110107;19.8;20.75;20.0;19.8;4100800
20110110;20.25;21.0;20.5;20.0;887800
20110111;20.5;21.0;20.5;20.5;1082600
20110112;20.25;20.75;20.5;20.5;469800
20110113;20.0;20.5;20.0;20.5;3257500
20110114;20.0;20.5;20.25;20.0;1307500
20110117;20.25;20.75;20.25;20.25;1093300
20110118;20.0;20.75;20.25;20.25;2047600
20110119;20.0;20.5;20.25;20.25;811100
20110120;20.25;20.5;20.25;20.25;763100
20110121;20.25;20.75;20.25;20.25;2320600
20110124;20.25;20.75;20.25;20.25;2132000
20110125;20.25;20.75;20.25;20.25;2003800
20110126;20.25;21.0;20.5;20.25;1841400
20110127;20.25;21.0;20.25;20.5;1311400
20110128;20.0;20.75;20.25;20.25;951400
20110131;20.25;20.75;20.25;20.25;1761200
