Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20110801;23.25;24.5;23.25;23.75;11000
20110802;23.0;23.25;23.0;23.25;7400
20110803;24.0;24.0;24.0;23.0;4000
20110804;23.25;23.75;23.25;24.0;27200
20110805;23.0;23.5;23.0;23.25;44200
20110808;21.75;23.0;22.0;23.0;39400
20110809;21.5;22.0;21.5;22.0;15400
20110810;20.0;21.0;20.25;21.5;5500
20110811;20.25;20.25;20.25;20.25;10400
20110812;20.25;21.0;20.75;20.25;4300
20110815;20.5;20.75;20.5;20.75;3700
20110816;20.75;22.0;21.0;20.5;5500
20110817;21.0;22.0;21.0;21.0;2700
20110818;21.75;22.0;21.75;21.0;4000
20110819;21.75;22.0;21.75;21.75;5700
20110822;22.0;22.0;22.0;21.75;500
20110823;21.75;23.0;21.75;22.0;12000
20110824;22.0;23.0;22.0;21.75;11900
20110825;21.5;22.0;21.5;22.0;10200
20110826;21.5;21.5;21.5;21.5;300
20110829;20.0;21.0;20.25;21.5;5700
20110830;20.0;20.0;20.0;20.25;2600
20110831;20.0;20.0;20.0;20.25;2600
