Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20110901;35.0;35.0;35.0;35.0;100
20110902;35.0;35.0;35.0;35.0;300
20110905;35.0;35.0;35.0;35.0;100
20110906;35.0;35.0;35.0;35.0;100
20110907;35.0;35.0;35.0;35.0;100
20110908;34.0;34.0;34.0;35.0;400
20110909;34.0;34.0;34.0;34.0;-
20110912;34.0;34.0;34.0;34.0;-
20110913;34.0;34.0;34.0;34.0;-
20110914;34.0;34.0;34.0;34.0;-
20110915;34.0;34.0;34.0;34.0;-
20110916;34.0;34.0;34.0;34.0;-
20110919;34.0;34.0;34.0;34.0;500
20110920;34.0;34.0;34.0;34.0;-
20110921;34.0;34.0;34.0;34.0;-
20110922;34.0;34.0;34.0;34.0;-
20110923;34.0;34.0;34.0;34.0;-
20110926;34.0;34.0;34.0;34.0;-
20110927;34.0;34.0;34.0;34.0;-
20110928;34.0;34.0;34.0;34.0;-
20110929;34.0;34.0;34.0;34.0;-
20110930;34.0;34.0;34.0;34.0;-
