Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20120502;167.0;169.0;168.0;167.0;200
20120503;167.0;170.0;168.0;168.0;23800
20120504;167.0;170.0;168.0;168.0;16300
20120507;168.0;170.0;169.0;168.0;6400
20120508;169.0;171.0;170.0;169.0;78500
20120509;170.0;172.0;170.0;170.0;44800
20120510;171.0;172.0;171.0;170.0;1400
20120511;172.0;175.0;172.0;171.0;12900
20120514;171.0;172.0;171.0;172.0;15800
20120515;164.0;172.0;171.0;171.0;720800
20120516;171.0;172.0;171.0;171.0;2200
20120517;171.0;172.0;171.0;171.0;131700
20120518;166.0;168.0;167.0;171.0;500
20120521;165.0;172.0;171.0;167.0;3600
20120522;164.0;168.0;164.0;171.0;7500
20120523;164.0;168.0;165.0;164.0;1100
20120524;165.0;168.0;166.0;165.0;23900
20120525;167.0;167.0;167.0;166.0;8800
20120528;165.0;167.0;166.0;167.0;700
20120529;166.0;168.0;167.0;166.0;800
20120530;165.0;167.0;165.0;167.0;5000
20120531;165.0;167.0;165.0;165.0;5200
