Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20121101;226.0;227.0;226.25;228.75;3100
20121102;224.0;227.0;225.0;226.25;128700
20121105;225.0;226.0;225.75;225.0;600
20121106;226.0;227.0;226.75;225.75;3000
20121107;227.0;230.0;228.5;226.75;9200
20121108;226.0;231.0;227.0;228.5;8700
20121109;227.0;230.0;228.25;227.0;9700
20121112;229.0;231.0;230.0;228.25;6000
20121113;230.0;232.0;231.0;230.0;3300
20121114;230.0;235.0;233.5;231.0;2900
20121115;232.0;235.0;234.5;233.5;261300
20121116;235.0;237.0;235.0;234.5;3000
20121119;235.0;237.0;236.5;235.0;60200
20121120;236.0;237.0;236.75;236.5;35600
20121121;239.0;240.0;239.75;236.75;43400
20121122;236.0;238.0;236.0;239.75;8900
20121123;230.0;238.0;235.5;236.0;30100
20121126;233.0;237.0;236.25;235.5;15300
20121127;225.0;236.0;234.5;236.25;132800
20121128;235.0;236.0;235.75;234.5;6600
20121129;236.0;239.0;237.0;235.75;66600
20121130;235.0;238.0;236.75;237.0;15900
