Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20130102;43.0;43.0;43.0;42.0;100
20130103;42.5;43.0;42.75;43.0;4800
20130104;43.25;43.75;43.5;42.75;5100
20130107;43.75;45.0;44.75;43.5;9800
20130108;45.0;45.0;45.0;44.75;22800
20130109;45.0;46.5;45.0;45.0;99700
20130110;46.0;46.75;46.0;45.0;22700
20130111;45.0;46.0;45.0;46.0;2529000
20130114;45.0;46.0;45.0;45.0;43200
20130115;45.0;46.0;45.0;45.0;18300
20130116;45.0;48.5;45.25;45.0;192400
20130117;44.75;46.0;45.0;45.25;52000
20130118;45.0;45.0;45.0;45.0;700
20130121;42.0;44.5;42.25;45.0;1300
20130122;45.0;45.0;45.0;42.25;100
20130123;41.0;44.0;41.5;45.0;55200
20130124;41.25;45.0;41.75;41.5;12800
20130125;41.25;45.0;41.25;41.75;5300
20130128;41.5;41.5;41.5;41.25;3300
20130129;41.5;42.0;41.75;41.5;5500
20130130;42.0;42.5;42.25;41.75;73000
20130131;42.75;43.0;42.75;42.25;24200
