Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20130201;300.0;304.0;303.0;301.0;466700
20130204;301.0;306.0;304.0;303.0;299500
20130205;306.0;308.0;306.0;304.0;887400
20130206;306.0;309.0;307.0;306.0;257100
20130207;307.0;309.0;307.0;307.0;730000
20130208;307.0;309.0;307.0;307.0;438100
20130211;307.0;312.0;311.0;307.0;411400
20130212;314.0;316.0;314.0;311.0;1430100
20130213;312.0;315.0;314.0;314.0;2005100
20130214;307.0;310.0;308.0;314.0;219200
20130215;294.0;300.0;295.0;308.0;5900
20130218;272.0;290.0;287.0;295.0;582500
20130219;271.0;280.0;277.0;287.0;1095300
20130220;272.0;277.0;273.0;277.0;399000
20130221;275.0;280.0;277.0;273.0;1454900
20130222;278.0;285.0;280.0;277.0;326400
20130225;278.0;290.0;280.0;280.0;3153100
20130226;263.0;290.0;279.0;280.0;376000
20130227;280.0;281.0;280.0;279.0;1072100
20130228;281.0;286.0;282.0;280.0;44500
