Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20130801;3.55;4.0;3.95;3.7;6100
20130802;3.95;3.95;3.95;3.95;200
20130805;3.95;4.0;3.95;3.95;2000
20130806;3.7;3.7;3.7;3.95;3000
20130807;3.95;3.95;3.95;3.7;400
20130808;3.95;3.95;3.95;3.95;300
20130809;3.95;3.95;3.95;3.95;300
20130812;3.6;3.6;3.6;3.95;300
20130813;3.6;3.6;3.6;3.6;-
20130814;3.55;3.85;3.55;3.6;10100
20130815;3.95;3.95;3.95;3.55;6400
20130816;4.0;4.0;4.0;3.95;5800
20130819;4.0;4.0;4.0;4.0;5700
20130820;3.8;3.95;3.9;4.0;1500
20130821;3.7;4.0;3.85;3.9;4100
20130822;3.85;3.85;3.85;3.85;-
20130823;3.85;3.85;3.85;3.85;500
20130826;4.0;4.2;4.0;3.85;1400
20130827;3.85;4.0;3.85;4.0;3300
20130828;3.75;4.0;3.85;3.85;1300
20130829;3.6;3.95;3.6;3.85;11700
20130830;3.6;3.6;3.6;3.6;-
