Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20130902;250.0;250.0;250.0;245.0;500
20130903;250.0;250.0;250.0;250.0;-
20130904;250.0;250.0;250.0;250.0;2200
20130905;250.0;250.0;250.0;250.0;-
20130906;250.0;250.0;250.0;250.0;-
20130909;250.0;250.0;250.0;250.0;-
20130910;250.0;250.0;250.0;250.0;-
20130911;250.0;250.0;250.0;250.0;200
20130912;250.0;250.0;250.0;250.0;-
20130913;250.0;250.0;250.0;250.0;-
20130916;250.0;250.0;250.0;250.0;-
20130917;250.0;250.0;250.0;250.0;-
20130918;226.0;226.0;226.0;250.0;1000
20130919;226.0;226.0;226.0;226.0;-
20130920;226.0;226.0;226.0;226.0;-
20130923;226.0;226.0;226.0;226.0;-
20130924;226.0;226.0;226.0;226.0;-
20130925;228.0;235.0;229.0;226.0;500
20130926;230.0;234.0;232.0;229.0;200
20130927;232.0;232.0;232.0;232.0;-
20130930;233.0;233.0;233.0;232.0;100
