Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20131001;30.0;30.0;30.0;30.0;12000
20131002;29.25;30.0;29.25;30.0;1310700
20131003;28.5;31.0;28.5;29.25;112100
20131004;28.5;30.0;28.75;28.5;17200
20131007;28.5;30.0;28.5;28.75;59900
20131008;29.0;30.0;29.0;28.5;367700
20131009;29.0;30.5;29.25;29.0;49200
20131010;29.75;30.0;29.75;29.25;111300
20131011;29.75;29.75;29.75;29.75;4600
20131014;28.75;29.0;28.75;29.75;118800
20131015;29.0;29.0;29.0;28.75;25700
20131016;28.75;29.75;28.75;29.0;579300
20131017;28.75;28.75;28.75;28.75;-
20131018;29.0;29.75;29.25;28.75;36800
20131022;29.75;29.75;29.75;29.25;7400
20131023;29.25;29.75;29.25;29.75;1100
20131024;28.75;29.25;29.0;29.25;16300
20131025;29.25;30.0;29.75;29.0;47900
20131028;29.75;29.75;29.75;29.75;900
20131029;29.75;29.75;29.75;29.75;900
20131030;29.75;30.0;29.75;29.75;62400
20131031;29.75;30.0;29.75;29.75;3600
