Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20131202;181.52;181.52;181.52;182.17;-
20131203;181.4;181.4;181.4;181.52;-
20131204;179.84;179.84;179.84;181.4;-
20131205;177.67;177.67;177.67;179.84;-
20131206;175.64;175.64;175.64;177.67;-
20131209;175.33;175.33;175.33;175.64;-
20131210;173.24;173.24;173.24;175.33;-
20131211;173.06;173.06;173.06;173.24;-
20131213;173.06;173.06;173.06;173.24;-
20131216;172.25;172.25;172.25;173.06;-
20131217;170.68;170.68;170.68;172.25;-
20131218;170.17;170.17;170.17;170.68;-
20131219;170.17;170.17;170.17;170.17;-
20131220;169.86;169.86;169.86;170.17;-
20131223;169.89;169.89;169.89;169.86;-
20131224;173.26;173.26;173.26;169.89;-
20131227;173.47;173.47;173.47;173.26;-
20131230;174.56;174.56;174.56;173.47;-
20131231;174.27;174.27;174.27;174.56;-
