Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20140502;170.0;172.0;170.0;170.0;249200
20140505;170.0;170.0;170.0;170.0;-
20140506;172.0;186.0;185.0;170.0;366100
20140507;175.0;186.0;175.0;185.0;351400
20140508;177.0;178.0;177.0;175.0;200
20140509;175.0;180.0;175.0;177.0;195400
20140512;175.0;176.0;175.0;175.0;68100
20140513;174.0;175.0;174.0;175.0;172800
20140514;175.0;175.0;175.0;174.0;100
20140515;173.0;175.0;173.0;175.0;509100
20140516;175.0;175.0;175.0;173.0;42400
20140519;174.0;176.0;174.0;175.0;10500
20140520;177.0;177.0;177.0;174.0;2500
20140521;170.0;177.0;172.0;177.0;204500
20140522;173.0;176.0;173.0;172.0;434100
20140523;173.0;176.0;173.0;173.0;5100
20140526;172.0;173.0;172.0;173.0;31700
20140527;172.0;175.0;173.0;172.0;14100
20140528;171.0;176.0;173.0;173.0;1000
20140529;172.0;173.0;172.0;173.0;23300
20140530;172.0;172.0;172.0;172.0;111100
