Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20150102;16.6;16.8;16.75;16.65;84300
20150105;16.25;16.7;16.45;16.75;241000
20150106;16.25;16.7;16.4;16.45;1079800
20150107;16.1;16.75;16.3;16.4;358600
20150108;16.25;16.75;16.25;16.3;1630500
20150109;16.25;17.0;16.4;16.25;108300
20150112;15.55;16.5;15.95;16.4;1353700
20150113;15.75;16.4;15.95;15.95;324400
20150114;16.0;16.5;16.05;15.95;162600
20150115;16.05;16.4;16.25;16.05;190100
20150116;16.25;16.5;16.4;16.25;244100
20150119;16.1;16.5;16.25;16.4;181400
20150120;16.2;16.4;16.3;16.25;343900
20150121;16.0;16.3;16.15;16.3;274200
20150122;16.0;16.3;16.05;16.15;300000
20150123;16.0;16.3;16.1;16.05;151600
20150126;16.1;16.4;16.2;16.1;153300
20150127;16.05;17.0;16.15;16.2;163200
20150128;16.1;16.3;16.2;16.15;178300
20150129;16.0;16.25;16.1;16.2;131000
20150130;16.0;16.25;16.15;16.1;740700
