Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20150102;58.0;58.0;58.0;58.0;2900
20150105;58.0;58.0;58.0;58.0;1100
20150106;58.0;58.0;58.0;58.0;400
20150107;58.0;58.0;58.0;58.0;600
20150108;53.0;58.0;56.5;58.0;1900
20150109;51.0;58.0;55.0;56.5;1500
20150112;51.0;53.0;51.0;55.0;1000
20150113;55.0;55.0;55.0;51.0;700
20150114;55.0;55.0;55.0;55.0;-
20150115;55.5;55.5;55.5;55.0;1600
20150116;60.0;61.0;60.5;55.5;300
20150119;60.0;60.0;60.0;60.5;1000
20150120;56.0;60.0;57.5;60.0;1700
20150121;55.5;55.5;55.5;57.5;1900
20150122;55.0;57.0;55.0;55.5;1000
20150123;60.0;60.0;60.0;55.0;100
20150126;60.0;60.0;60.0;60.0;2100
20150127;60.0;60.0;60.0;60.0;1000
20150128;60.0;65.0;60.0;60.0;6000
20150129;65.0;65.0;65.0;60.0;400
20150130;65.0;65.0;65.0;65.0;3000
