Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20150401;280.0;280.0;280.0;280.0;-
20150402;280.0;280.0;280.0;280.0;-
20150407;280.0;280.0;280.0;280.0;-
20150408;280.0;280.0;280.0;280.0;-
20150409;280.0;280.0;280.0;280.0;3300
20150410;280.0;280.0;280.0;280.0;-
20150413;255.0;255.0;255.0;280.0;100
20150414;255.0;255.0;255.0;255.0;-
20150415;256.0;257.0;256.0;255.0;1600
20150416;256.0;256.0;256.0;256.0;-
20150417;256.0;281.0;276.0;256.0;5000
20150420;280.0;280.0;280.0;276.0;122600
20150421;280.0;285.0;284.0;280.0;1300
20150422;284.0;284.0;284.0;284.0;-
20150423;284.0;284.0;284.0;284.0;-
20150424;259.0;259.0;259.0;284.0;1000
20150427;284.0;284.0;284.0;259.0;300
20150428;284.0;284.0;284.0;284.0;-
20150429;259.0;259.0;259.0;284.0;100
20150430;284.0;284.0;284.0;259.0;800
