Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20151102;2.55;2.8;2.55;2.65;11000
20151103;2.6;2.8;2.75;2.55;16300
20151104;2.8;3.0;2.95;2.75;23600
20151105;2.95;3.0;2.95;2.95;2700
20151106;2.95;3.05;2.95;2.95;6800
20151109;2.9;3.0;2.9;2.95;6100
20151110;2.9;3.0;2.95;2.9;42700
20151111;3.0;3.0;3.0;2.95;2000
20151112;3.0;3.15;3.0;3.0;22300
20151113;2.9;3.1;3.0;3.0;9100
20151116;2.95;3.1;3.0;3.0;8400
20151117;2.9;3.0;2.95;3.0;15000
20151118;3.0;3.0;3.0;2.95;1100
20151119;2.85;2.9;2.85;3.0;1400
20151120;2.85;2.9;2.85;2.85;5000
20151123;2.8;2.85;2.8;2.85;19000
20151124;2.8;2.9;2.8;2.8;31700
20151125;2.8;2.9;2.85;2.8;2700
20151126;2.8;2.9;2.85;2.8;2700
20151127;2.7;2.9;2.75;2.85;5700
20151130;2.9;3.0;2.9;2.75;2900
