Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20151201;99.0;99.0;99.0;99.0;-
20151202;99.0;101.0;99.5;99.0;400
20151203;100.0;100.0;100.0;99.5;15000
20151204;99.0;99.0;99.0;100.0;5000
20151207;97.0;100.0;99.75;99.0;37300
20151208;97.0;100.0;99.0;99.75;8300
20151209;100.0;100.0;100.0;99.0;2500
20151210;100.0;100.0;100.0;100.0;-
20151211;100.0;100.0;100.0;100.0;5000
20151214;102.0;102.0;102.0;100.0;100
20151215;102.0;102.0;102.0;102.0;-
20151216;102.0;102.0;102.0;102.0;-
20151217;101.0;101.0;101.0;102.0;300
20151218;101.0;101.0;101.0;101.0;-
20151221;98.0;100.0;99.75;101.0;39200
20151222;100.0;100.0;100.0;99.75;20100
20151223;98.0;100.0;99.75;100.0;4500
20151224;99.0;100.0;99.75;99.75;2100
20151228;99.5;99.5;99.5;99.75;-
20151229;100.0;100.0;100.0;99.5;4900
20151230;100.0;100.0;100.0;100.0;11400
20151231;100.0;100.0;100.0;100.0;-
