Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20160104;4.55;4.9;4.6;4.5;6000
20160105;4.6;5.0;4.7;4.6;51500
20160106;4.6;5.0;4.95;4.7;27300
20160107;4.95;5.2;5.0;4.95;30100
20160108;5.2;5.4;5.2;5.0;18700
20160111;5.5;5.55;5.5;5.2;13400
20160112;5.6;5.7;5.65;5.5;19500
20160113;5.8;6.2;6.0;5.65;83600
20160114;6.2;6.6;6.4;6.0;87300
20160115;6.5;6.95;6.75;6.4;57000
20160118;6.6;6.75;6.65;6.75;30800
20160119;6.0;6.6;6.05;6.65;76700
20160120;5.5;5.95;5.75;6.05;29400
20160121;5.2;5.7;5.45;5.75;19700
20160122;5.25;5.75;5.65;5.45;27900
20160125;5.15;5.25;5.2;5.65;22200
20160126;4.8;5.15;4.85;5.2;16500
20160127;4.7;4.9;4.8;4.85;9100
20160128;4.9;4.9;4.9;4.8;9500
20160129;4.8;5.0;4.95;4.9;129300
