Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20160801;800.0;800.0;800.0;800.0;-
20160802;800.0;800.0;800.0;800.0;-
20160803;800.0;800.0;800.0;800.0;-
20160804;800.0;800.0;800.0;800.0;-
20160805;800.0;800.0;800.0;800.0;-
20160808;800.0;800.0;800.0;800.0;-
20160809;800.0;800.0;800.0;800.0;-
20160810;800.0;800.0;800.0;800.0;-
20160811;800.0;800.0;800.0;800.0;-
20160812;800.0;800.0;800.0;800.0;-
20160815;800.0;800.0;800.0;800.0;-
20160816;800.0;800.0;800.0;800.0;-
20160817;800.0;800.0;800.0;800.0;-
20160818;800.0;800.0;800.0;800.0;-
20160819;800.0;800.0;800.0;800.0;-
20160822;800.0;800.0;800.0;800.0;-
20160823;800.0;800.0;800.0;800.0;-
20160824;790.0;790.0;790.0;800.0;100
20160825;790.0;790.0;790.0;790.0;-
20160826;790.0;790.0;790.0;790.0;-
20160829;790.0;790.0;790.0;790.0;-
20160830;790.0;790.0;790.0;790.0;-
20160831;790.0;790.0;790.0;790.0;-
