Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20161003;3.1;3.2;3.15;3.1;1600
20161004;3.15;3.15;3.15;3.15;-
20161005;2.85;3.05;2.85;3.15;3200
20161006;3.0;3.1;3.05;2.85;7700
20161007;3.05;3.05;3.05;3.05;-
20161010;3.15;3.15;3.15;3.05;4100
20161011;3.15;3.35;3.2;3.15;4600
20161012;3.1;3.2;3.1;3.2;2800
20161013;3.1;3.2;3.15;3.1;4000
20161014;2.95;3.05;3.0;3.15;800
20161017;3.05;3.1;3.05;3.0;1400
20161018;3.1;3.2;3.1;3.05;900
20161019;2.85;3.0;2.9;3.1;3500
20161021;2.9;2.95;2.9;2.9;6200
20161024;2.9;2.9;2.9;2.9;-
20161025;3.15;3.15;3.15;2.9;100
20161026;3.15;3.3;3.25;3.15;12100
20161027;3.55;3.55;3.55;3.25;2900
20161028;3.2;3.55;3.35;3.55;7300
20161031;3.3;3.55;3.35;3.35;300
