Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20161201;850.0;850.0;850.0;850.0;-
20161202;850.0;850.0;850.0;850.0;-
20161205;850.0;850.0;850.0;850.0;100
20161206;850.0;850.0;850.0;850.0;-
20161207;840.0;849.0;842.0;850.0;2900
20161208;840.0;840.0;840.0;842.0;100
20161209;840.0;840.0;840.0;840.0;-
20161213;840.0;840.0;840.0;840.0;10000
20161214;839.0;840.0;839.0;840.0;13700
20161215;835.0;840.0;839.0;839.0;9200
20161216;840.0;842.0;840.0;839.0;28400
20161219;842.0;842.0;842.0;840.0;200
20161220;840.0;840.0;840.0;842.0;100
20161221;835.0;840.0;839.0;840.0;500
20161222;835.0;835.0;835.0;839.0;100
20161223;835.0;835.0;835.0;835.0;-
20161227;835.0;835.0;835.0;835.0;-
20161228;835.0;835.0;835.0;835.0;-
20161229;835.0;835.0;835.0;835.0;-
20161230;878.0;910.0;909.0;835.0;181000
