Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20170301;8.0;8.0;8.0;8.0;-
20170302;8.0;8.0;8.0;8.0;200
20170303;8.0;8.0;8.0;8.0;-
20170306;8.0;8.0;8.0;8.0;-
20170307;8.0;8.0;8.0;8.0;-
20170308;8.0;8.0;8.0;8.0;-
20170309;8.4;8.4;8.4;8.0;200
20170310;8.4;8.4;8.4;8.4;-
20170313;8.4;8.4;8.4;8.4;-
20170314;8.25;8.25;8.25;8.4;1200
20170315;8.25;8.25;8.25;8.25;-
20170316;8.25;8.25;8.25;8.25;-
20170317;8.25;8.25;8.25;8.25;-
20170320;8.25;8.25;8.25;8.25;-
20170321;8.25;8.25;8.25;8.25;200
20170322;8.25;8.25;8.25;8.25;-
20170323;8.25;8.25;8.25;8.25;-
20170324;8.25;8.25;8.25;8.25;-
20170327;8.25;8.25;8.25;8.25;-
20170328;8.0;8.0;8.0;8.25;500
20170329;8.0;8.0;8.0;8.0;100
20170330;8.0;8.0;8.0;8.0;-
20170331;8.0;8.0;8.0;8.0;-
