Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20170403;10.8;11.0;10.9;11.0;4900
20170404;10.8;11.0;10.9;10.9;4100
20170405;10.8;11.0;10.85;10.9;12100
20170406;10.7;11.0;10.85;10.85;6200
20170407;11.0;11.0;11.0;10.85;8700
20170410;10.5;11.7;10.6;11.0;9200
20170411;10.5;11.6;10.85;10.6;7300
20170412;10.85;11.5;11.0;10.85;2900
20170413;11.5;11.5;11.5;11.0;1000
20170418;10.9;11.5;11.15;11.5;2800
20170419;11.15;11.15;11.15;11.15;-
20170420;11.0;11.0;11.0;11.15;1000
20170421;10.9;11.0;10.9;11.0;11000
20170424;11.2;11.2;11.2;10.9;100
20170425;11.0;11.2;11.0;11.2;6000
20170426;11.2;11.2;11.2;11.0;2000
20170427;11.0;11.0;11.0;11.2;20000
20170428;11.0;11.2;11.0;11.0;1500
