Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20170403;2.75;3.0;2.85;3.0;1400
20170404;2.6;2.6;2.6;2.85;2200
20170405;2.5;2.6;2.5;2.6;5800
20170406;2.6;2.7;2.65;2.5;1400
20170407;2.65;2.7;2.65;2.65;2400
20170410;2.7;2.7;2.7;2.65;1000
20170411;2.7;2.9;2.85;2.7;4500
20170412;2.65;2.7;2.65;2.85;8500
20170413;2.65;2.9;2.65;2.65;5100
20170418;2.7;2.95;2.75;2.65;2300
20170419;2.8;2.9;2.85;2.75;3700
20170420;2.7;2.95;2.7;2.85;17300
20170421;2.6;2.85;2.7;2.7;8900
20170424;2.7;2.8;2.7;2.7;8600
20170425;2.9;2.9;2.9;2.7;1500
20170426;2.9;2.9;2.9;2.9;200
20170427;2.7;2.8;2.7;2.9;1700
20170428;2.7;2.8;2.7;2.7;4100
