Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20170602;15.65;15.65;15.65;14.25;100
20170605;14.1;14.5;14.2;15.65;188800
20170606;12.85;14.05;14.0;14.2;120600
20170607;13.8;14.0;13.9;14.0;6389000
20170608;12.85;15.25;13.8;13.9;978800
20170609;14.0;14.0;14.0;13.8;1300
20170612;13.0;14.0;13.8;14.0;39200
20170613;13.8;13.8;13.8;13.8;10800
20170614;13.8;14.0;13.8;13.8;77100
20170615;13.0;14.0;13.0;13.8;10500
20170616;14.0;14.0;14.0;13.0;5500
20170619;13.9;13.9;13.9;14.0;10200
20170620;13.8;13.8;13.8;13.9;1486800
20170621;13.8;13.8;13.8;13.8;-
20170622;13.75;13.8;13.75;13.8;116400
20170623;13.75;13.75;13.75;13.75;50000
20170626;13.75;13.75;13.75;13.75;50000
20170627;13.75;13.75;13.75;13.75;504000
20170628;13.35;13.75;13.5;13.75;50200
20170629;13.0;13.75;13.3;13.5;500
20170630;12.55;13.0;12.55;13.3;71300
