Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20170801;3.5;4.0;3.5;3.85;231500
20170802;3.5;3.5;3.5;3.5;-
20170803;3.75;3.75;3.75;3.5;400
20170804;3.8;4.1;3.85;3.75;11800
20170807;3.9;3.9;3.9;3.85;2000
20170808;3.9;3.9;3.9;3.85;2000
20170809;3.9;3.9;3.9;3.9;-
20170810;4.2;4.25;4.2;3.9;21000
20170811;4.65;4.65;4.65;4.2;18900
20170814;4.75;5.1;4.85;4.65;45100
20170815;4.4;5.1;4.5;4.85;277900
20170816;4.4;4.9;4.45;4.5;18100
20170817;4.4;4.5;4.45;4.45;12400
20170818;4.4;4.7;4.4;4.45;15000
20170821;4.4;4.4;4.4;4.4;-
20170822;4.5;4.8;4.75;4.4;10100
20170823;4.35;4.8;4.45;4.75;21400
20170824;4.75;4.75;4.75;4.45;200
20170825;4.3;4.5;4.4;4.75;44800
20170828;4.0;4.0;4.0;4.4;20900
20170829;4.3;4.4;4.3;4.0;15800
20170830;3.95;4.6;3.95;4.3;37600
20170831;4.1;4.3;4.15;3.95;3500
