Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20171002;19.5;20.0;19.7;20.0;28900
20171003;19.5;20.0;19.7;20.0;28900
20171004;19.6;20.5;19.6;19.7;17100
20171005;19.6;21.0;20.1;19.6;49500
20171006;19.6;20.0;19.75;20.1;4500
20171009;19.65;19.75;19.7;19.75;4200
20171010;19.7;19.8;19.75;19.7;8100
20171011;19.6;19.75;19.65;19.75;5300
20171012;19.7;20.0;19.7;19.65;10100
20171013;19.6;20.0;19.7;19.7;38800
20171016;19.6;19.7;19.65;19.7;10300
20171017;19.7;19.75;19.7;19.65;16400
20171018;19.7;19.75;19.75;19.7;1013800
20171019;19.75;20.0;19.8;19.75;5500
20171023;19.7;20.0;19.9;19.8;3600
20171024;19.9;20.0;19.95;19.9;13700
20171025;19.9;20.0;19.95;19.9;13700
20171026;19.9;20.0;19.95;19.9;13700
20171027;19.8;20.5;19.95;19.95;22200
20171030;19.75;21.5;20.0;19.95;214800
20171031;20.0;20.0;20.0;20.0;14600
