Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20171101;180.0;180.0;180.0;179.0;2700
20171102;181.0;181.0;181.0;180.0;5700
20171103;181.0;185.0;184.0;181.0;25100
20171106;185.0;186.0;185.0;184.0;113100
20171107;186.0;187.0;186.0;185.0;72200
20171108;187.0;187.0;187.0;186.0;33100
20171109;188.0;188.0;188.0;187.0;100
20171110;189.0;190.0;189.0;188.0;191600
20171113;189.0;189.0;189.0;189.0;100
20171114;191.0;191.0;191.0;189.0;21000
20171115;190.0;192.0;191.0;191.0;189700
20171116;190.0;190.0;190.0;191.0;1500
20171117;186.0;190.0;187.0;190.0;24300
20171120;186.0;191.0;190.0;187.0;32100
20171121;190.0;190.0;190.0;190.0;9500
20171122;190.0;195.0;193.0;190.0;11700
20171123;190.0;191.0;190.0;193.0;28800
20171124;190.0;190.0;190.0;190.0;-
20171127;190.0;190.0;190.0;190.0;-
20171128;190.0;190.0;190.0;190.0;-
20171129;190.0;190.0;190.0;190.0;500
20171130;189.0;195.0;194.0;190.0;55300
