Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20180301;81.0;82.0;81.5;80.0;4200
20180302;82.0;82.0;82.0;81.5;1300
20180305;81.0;81.0;81.0;82.0;600
20180306;81.0;81.0;81.0;81.0;3300
20180307;81.0;81.0;81.0;81.0;100
20180308;81.0;81.0;81.0;81.0;600
20180309;81.0;81.5;81.0;81.0;400
20180312;81.0;81.0;81.0;81.0;400
20180313;81.0;84.0;82.0;81.0;300
20180314;81.0;83.0;81.0;82.0;4000
20180315;81.0;81.0;81.0;81.0;-
20180316;81.0;81.0;81.0;81.0;300
20180319;81.0;81.0;81.0;81.0;-
20180320;81.0;81.0;81.0;81.0;2000
20180321;82.0;82.0;82.0;81.0;1600
20180322;82.0;82.0;82.0;82.0;-
20180323;81.0;81.0;81.0;82.0;400
20180326;81.0;82.0;81.0;81.0;2300
20180327;81.0;81.0;81.0;81.0;-
20180328;81.0;81.5;81.0;81.0;9900
20180329;81.0;81.0;81.0;81.0;8000
