Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20180403;16.0;18.6;16.9;17.0;2300
20180404;16.9;16.9;16.9;16.9;-
20180405;16.1;16.1;16.1;16.9;800
20180406;16.0;16.1;16.0;16.1;2500
20180409;16.0;16.0;16.0;16.0;6500
20180410;16.0;16.0;16.0;16.0;1800
20180411;16.0;16.5;16.1;16.0;9000
20180412;16.1;16.1;16.1;16.1;3400
20180413;16.1;16.25;16.15;16.1;2800
20180416;16.25;17.05;16.3;16.15;3400
20180417;16.5;16.55;16.5;16.3;7000
20180418;16.5;16.75;16.55;16.5;7900
20180419;16.75;16.8;16.75;16.55;342800
20180420;16.55;16.75;16.6;16.75;900
20180423;16.9;17.0;16.9;16.6;8300
20180424;16.9;17.5;16.95;16.9;5500
20180425;16.75;17.0;16.9;16.95;43100
20180426;17.0;18.0;17.0;16.9;46600
20180427;17.05;18.7;18.65;17.0;27300
20180430;18.7;19.65;19.2;18.65;3900
