Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20180702;0.85;0.9;0.85;0.85;70600
20180703;0.85;0.9;0.85;0.85;13600
20180704;0.85;0.9;0.85;0.85;47000
20180705;0.85;0.9;0.85;0.85;58500
20180706;0.85;0.9;0.85;0.85;23700
20180709;0.85;0.9;0.85;0.85;65600
20180710;0.9;0.9;0.9;0.85;6100
20180711;0.9;0.95;0.9;0.9;110300
20180712;0.9;0.95;0.9;0.9;173800
20180713;0.9;0.95;0.9;0.9;53800
20180716;0.9;0.95;0.9;0.9;113800
20180717;0.9;0.95;0.9;0.9;124200
20180718;0.9;0.95;0.9;0.9;40700
20180719;0.9;0.95;0.9;0.9;104700
20180720;0.9;0.95;0.9;0.9;51400
20180723;0.9;0.95;0.9;0.9;186100
20180724;0.9;0.95;0.9;0.9;124300
20180725;0.9;0.95;0.9;0.9;202000
20180726;0.9;0.9;0.9;0.9;101800
20180727;0.85;0.9;0.85;0.9;220500
20180730;0.8;0.85;0.8;0.85;16100
20180731;0.8;0.85;0.8;0.8;81700
