Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20180801;0.7;0.75;0.7;0.7;841200
20180802;0.7;0.75;0.7;0.7;346100
20180803;0.7;0.75;0.7;0.7;1413400
20180806;0.7;0.75;0.7;0.7;298000
20180807;0.7;0.75;0.7;0.7;36700
20180808;0.75;0.75;0.75;0.7;182500
20180809;0.75;0.8;0.75;0.75;277800
20180810;0.75;0.8;0.75;0.75;40500
20180813;0.75;0.8;0.75;0.75;92800
20180814;0.75;0.8;0.75;0.75;640000
20180815;0.75;0.8;0.75;0.75;295200
20180816;0.75;0.8;0.75;0.75;165000
20180817;0.75;0.8;0.75;0.75;458600
20180820;0.75;0.8;0.75;0.75;361600
20180821;0.75;0.8;0.75;0.75;361600
20180822;0.7;0.8;0.7;0.75;60700
20180823;0.7;0.8;0.75;0.7;115700
20180824;0.75;0.8;0.75;0.75;93600
20180827;0.7;0.8;0.75;0.75;120300
20180828;0.75;0.8;0.75;0.75;169900
20180829;0.75;0.8;0.75;0.75;118700
20180830;0.75;0.8;0.75;0.75;156700
20180831;0.75;0.8;0.75;0.75;100100
