Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20180903;5.55;5.55;5.55;5.55;-
20180904;5.55;5.55;5.55;5.55;-
20180905;5.55;5.55;5.55;5.55;-
20180906;5.55;5.55;5.55;5.55;-
20180907;5.55;5.55;5.55;5.55;-
20180910;5.55;5.55;5.55;5.55;-
20180911;5.55;5.55;5.55;5.55;-
20180912;5.55;5.55;5.55;5.55;-
20180913;5.55;5.55;5.55;5.55;-
20180914;5.55;5.55;5.55;5.55;-
20180917;5.55;5.55;5.55;5.55;-
20180918;5.55;5.55;5.55;5.55;-
20180919;5.55;5.55;5.55;5.55;-
20180920;5.55;5.55;5.55;5.55;-
20180921;5.55;5.55;5.55;5.55;-
20180924;5.55;5.55;5.55;5.55;-
20180925;5.55;5.55;5.55;5.55;-
20180926;5.55;5.55;5.55;5.55;-
20180927;5.55;5.55;5.55;5.55;-
20180928;5.55;5.55;5.55;5.55;-
