Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20190102;34.05;35.4;34.65;34.85;863000
20190103;34.0;34.5;34.1;34.65;4147000
20190104;33.55;34.45;33.75;34.1;1817300
20190107;33.4;34.1;33.6;33.75;125400
20190108;33.75;34.25;33.75;33.6;3283600
20190109;34.0;35.5;34.8;33.75;1243200
20190110;35.5;37.45;36.95;34.8;1207500
20190111;36.55;37.45;36.95;36.95;593300
20190114;36.65;37.0;36.9;36.95;63900
20190115;36.9;37.5;37.0;36.9;2704800
20190116;37.0;38.5;37.55;37.0;32200
20190117;38.0;39.0;38.05;37.55;1040500
20190118;38.5;40.0;39.3;38.05;788800
20190121;39.5;41.0;40.55;39.3;1597500
20190122;40.2;41.0;40.5;40.55;3050000
20190123;40.0;42.0;40.35;40.5;1265600
20190124;39.0;41.0;39.95;40.35;3123800
20190125;39.9;40.0;39.95;39.95;1779700
20190128;39.25;40.5;40.0;39.95;307900
20190129;39.5;40.0;39.9;40.0;1451900
20190130;39.9;40.0;39.95;39.9;5712600
20190131;39.9;41.5;40.9;39.95;6698300
