Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20190102;5.8;5.8;5.8;5.54;4500
20190103;5.5;5.8;5.56;5.8;30100
20190104;5.5;5.8;5.62;5.56;6000
20190107;5.22;5.5;5.4;5.62;18200
20190108;5.1;5.4;5.22;5.4;5700
20190109;5.06;5.4;5.22;5.22;20900
20190110;5.06;5.62;5.08;5.22;99600
20190111;5.4;5.5;5.4;5.08;2800
20190114;5.4;5.88;5.56;5.4;4700
20190115;5.42;5.9;5.52;5.56;8600
20190116;5.5;6.0;5.82;5.52;6200
20190117;5.5;6.0;5.7;5.82;38000
20190118;5.7;5.8;5.8;5.7;19200
20190121;5.8;6.2;5.86;5.8;12400
20190122;6.0;6.3;6.0;5.86;586800
20190123;6.0;6.2;6.06;6.0;30000
20190124;6.14;6.2;6.2;6.06;1800
20190125;6.0;6.2;6.12;6.2;38000
20190128;6.14;6.2;6.18;6.12;11300
20190129;6.1;6.3;6.26;6.18;29200
20190130;6.3;6.8;6.54;6.26;25900
20190131;6.78;7.0;6.94;6.54;5000
