Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20190502;1235.0;1235.0;1235.0;1235.0;-
20190503;1235.0;1235.0;1235.0;1235.0;-
20190506;1235.0;1235.0;1235.0;1235.0;-
20190507;1235.0;1235.0;1235.0;1235.0;-
20190508;1235.0;1235.0;1235.0;1235.0;-
20190509;1235.0;1235.0;1235.0;1235.0;-
20190510;1235.0;1235.0;1235.0;1235.0;-
20190513;1235.0;1235.0;1235.0;1235.0;-
20190514;1235.0;1235.0;1235.0;1235.0;-
20190515;1235.0;1235.0;1235.0;1235.0;-
20190516;1235.0;1235.0;1235.0;1235.0;-
20190517;1235.0;1235.0;1235.0;1235.0;-
20190520;1235.0;1235.0;1235.0;1235.0;-
20190521;1235.0;1235.0;1235.0;1235.0;-
20190522;1235.0;1235.0;1235.0;1235.0;-
20190523;1235.0;1235.0;1235.0;1235.0;-
20190524;1235.0;1235.0;1235.0;1235.0;-
20190527;1235.0;1235.0;1235.0;1235.0;-
20190528;1235.0;1235.0;1235.0;1235.0;-
20190529;1235.0;1235.0;1235.0;1235.0;-
20190530;1235.0;1235.0;1235.0;1235.0;-
20190531;1235.0;1235.0;1235.0;1235.0;-
