Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20191001;23.0;23.0;23.0;22.0;100
20191002;24.0;24.0;24.0;23.0;100
20191003;24.0;24.0;24.0;24.0;-
20191004;24.0;24.0;24.0;24.0;-
20191007;21.6;21.6;21.6;24.0;100
20191008;21.6;21.6;21.6;21.6;-
20191009;21.6;21.6;21.6;21.6;-
20191010;21.6;21.6;21.6;21.6;-
20191011;21.6;21.6;21.6;21.6;-
20191014;21.6;21.6;21.6;21.6;-
20191015;20.0;20.0;20.0;21.6;800
20191016;20.0;20.0;20.0;20.0;-
20191017;20.0;20.0;20.0;20.0;-
20191018;22.0;22.0;22.0;20.0;1100
20191022;22.0;22.0;22.0;22.0;1300
20191023;22.0;22.0;22.0;22.0;-
20191024;22.0;22.0;22.0;22.0;-
20191025;22.0;22.0;22.0;22.0;-
20191028;22.0;22.0;22.0;22.0;-
20191029;22.0;22.0;22.0;22.0;-
20191030;22.0;22.0;22.0;22.0;1000
20191031;22.0;22.0;22.0;22.0;-
