Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20200102;31.0;31.6;31.3;31.5;349300
20200103;31.0;31.8;31.55;31.3;905000
20200106;31.05;31.7;31.5;31.55;1901800
20200107;31.3;31.7;31.55;31.5;7754500
20200108;31.2;32.5;31.85;31.55;3474800
20200109;31.7;33.5;32.8;31.85;4160400
20200110;32.5;33.4;32.8;32.8;4937700
20200113;32.5;33.0;32.7;32.8;10670300
20200114;32.0;32.85;32.75;32.7;5840900
20200115;31.5;32.85;32.0;32.75;8751100
20200116;31.5;32.3;32.0;32.0;12749500
20200117;31.0;32.0;31.5;32.0;8722400
20200120;31.2;32.3;31.55;31.5;2710900
20200121;31.3;32.3;31.55;31.55;1298900
20200122;31.3;31.75;31.5;31.55;8157000
20200123;31.3;32.0;31.55;31.5;11800200
20200124;31.2;32.0;31.3;31.55;7263900
20200127;30.0;31.5;30.7;31.3;3957800
20200128;29.75;30.5;29.95;30.7;1572800
20200129;29.9;30.5;30.05;29.95;13109900
20200130;30.05;30.8;30.6;30.05;4690800
20200131;30.15;30.7;30.45;30.6;3359100
