Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20200504;0.9;0.99;0.9;0.91;102800
20200505;0.82;0.99;0.84;0.9;76100
20200506;0.8;0.92;0.81;0.84;315400
20200507;0.79;0.88;0.8;0.81;128500
20200508;0.8;0.87;0.82;0.8;159400
20200511;0.77;0.87;0.78;0.82;805600
20200512;0.79;0.85;0.84;0.78;349300
20200513;0.76;0.9;0.81;0.84;135100
20200514;0.78;0.87;0.82;0.81;234600
20200515;0.84;0.88;0.85;0.82;66400
20200518;0.82;0.88;0.83;0.85;132000
20200519;0.85;0.89;0.86;0.83;57200
20200520;0.88;0.88;0.88;0.86;69800
20200521;0.8;0.88;0.82;0.88;454600
20200522;0.78;0.9;0.88;0.82;791800
20200525;0.78;0.9;0.88;0.82;791800
20200526;0.95;0.96;0.96;0.88;80200
20200527;1.05;1.05;1.05;0.96;1600
20200528;0.96;1.15;1.1;1.05;172400
20200529;1.14;1.2;1.17;1.1;218400
