Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20200701;1666.04;1666.04;1666.04;1673.33;-
20200702;1642.52;1642.52;1642.52;1666.04;-
20200703;1651.18;1651.18;1651.18;1642.52;-
20200706;1634.25;1634.25;1634.25;1651.18;-
20200707;1618.24;1618.24;1618.24;1634.25;-
20200708;1611.01;1611.01;1611.01;1618.24;-
20200709;1585.96;1585.96;1585.96;1611.01;-
20200710;1590.54;1590.54;1590.54;1585.96;-
20200713;1598.27;1598.27;1598.27;1590.54;-
20200714;1604.81;1604.81;1604.81;1598.27;-
20200715;1614.85;1614.85;1614.85;1604.81;-
20200716;1611.42;1611.42;1611.42;1614.85;-
20200717;1613.71;1613.71;1613.71;1611.42;-
20200720;1612.12;1612.12;1612.12;1613.71;-
20200721;1597.17;1597.17;1597.17;1612.12;-
20200722;1581.81;1581.81;1581.81;1597.17;-
20200723;1586.55;1586.55;1586.55;1581.81;-
20200724;1613.83;1613.83;1613.83;1586.55;-
20200727;1621.67;1621.67;1621.67;1613.83;-
20200728;1614.4;1614.4;1614.4;1621.67;-
20200729;1608.31;1608.31;1608.31;1614.4;-
20200730;1586.85;1586.85;1586.85;1608.31;-
20200731;1586.85;1586.85;1586.85;1608.31;-
