Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20200901;55.0;57.0;56.0;57.5;200
20200902;56.0;56.0;56.0;56.0;-
20200903;56.0;56.0;56.0;56.0;-
20200904;56.0;56.0;56.0;56.0;-
20200907;56.0;61.0;58.5;56.0;500
20200908;61.0;61.0;61.0;58.5;2000
20200909;55.0;57.0;55.25;61.0;3500
20200910;55.25;55.25;55.25;55.25;-
20200911;55.0;55.5;55.25;55.25;300
20200914;55.25;55.25;55.25;55.25;100
20200915;55.25;55.25;55.25;55.25;-
20200916;55.25;55.25;55.25;55.25;-
20200917;55.25;55.25;55.25;55.25;-
20200918;55.25;55.25;55.25;55.25;-
20200921;55.0;55.5;55.25;55.25;1700
20200922;55.25;55.25;55.25;55.25;-
20200923;55.25;55.25;55.25;55.25;-
20200924;55.25;55.25;55.25;55.25;-
20200925;55.25;55.25;55.25;55.25;-
20200928;55.25;55.25;55.25;55.25;-
20200929;55.25;55.25;55.25;55.25;-
20200930;55.25;55.25;55.25;55.25;-
