Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20201102;25.3;25.3;25.3;25.3;-
20201103;25.3;25.3;25.3;25.3;-
20201104;25.3;25.3;25.3;25.3;-
20201105;25.3;25.3;25.3;25.3;-
20201106;25.3;25.3;25.3;25.3;-
20201109;25.3;25.3;25.3;25.3;-
20201110;25.3;25.3;25.3;25.3;-
20201111;25.3;25.3;25.3;25.3;-
20201112;25.3;25.3;25.3;25.3;-
20201113;25.3;25.3;25.3;25.3;-
20201116;25.3;25.3;25.3;25.3;-
20201117;25.3;25.3;25.3;25.3;-
20201118;25.3;25.3;25.3;25.3;-
20201119;25.3;25.3;25.3;25.3;-
20201120;25.3;25.3;25.3;25.3;-
20201123;25.3;25.3;25.3;25.3;-
20201124;25.3;25.3;25.3;25.3;-
20201125;25.3;25.3;25.3;25.3;-
20201126;22.8;22.85;22.8;25.3;500
20201127;22.8;22.8;22.8;22.8;-
20201130;22.8;22.8;22.8;22.8;-
