Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20210201;16.6;17.8;17.0;17.85;2900
20210202;16.5;17.0;16.65;17.0;2500
20210203;16.5;17.85;17.3;16.65;3700
20210204;16.5;16.5;16.5;17.3;24000
20210205;16.5;16.5;16.5;16.5;-
20210208;16.0;17.9;17.1;16.5;1300
20210209;16.5;18.0;16.55;17.1;10400
20210210;16.5;18.0;18.0;16.55;1292900
20210211;18.1;18.1;18.1;18.0;100
20210212;18.1;18.5;18.3;18.1;200
20210215;18.3;18.3;18.3;18.3;-
20210216;17.2;18.5;17.3;18.3;10800
20210217;17.5;18.0;17.55;17.3;3700
20210218;18.0;18.0;18.0;17.55;5700
20210219;18.0;18.0;18.0;18.0;1000
20210222;18.0;19.2;18.3;18.0;1900
20210223;18.5;20.0;19.45;18.3;7000
20210224;19.5;19.6;19.55;19.45;6700
20210225;18.0;19.5;18.15;19.55;17100
20210226;18.0;19.0;18.05;18.15;5600
