Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20210602;280.0;280.0;280.0;279.25;100
20210603;280.0;280.0;280.0;280.0;-
20210604;279.75;280.0;280.0;280.0;7500
20210607;299.0;300.0;299.75;280.0;4200
20210608;300.0;304.0;300.25;299.75;18400
20210609;300.0;305.0;301.25;300.25;3500
20210610;305.0;305.0;305.0;301.25;100
20210611;305.0;308.0;306.25;305.0;2400
20210614;305.0;306.25;305.25;306.25;13700
20210615;305.0;306.0;305.5;305.25;400
20210616;305.0;305.0;305.0;305.5;1300
20210617;305.0;305.0;305.0;305.0;-
20210618;305.0;310.0;309.5;305.0;1300
20210621;305.0;305.0;305.0;309.5;12600
20210622;310.0;325.0;320.25;305.0;800
20210623;320.25;320.25;320.25;320.25;-
20210624;315.0;315.0;315.0;320.25;400
20210625;310.0;310.0;310.0;315.0;200
20210628;308.0;320.0;313.5;310.0;6300
20210629;324.0;324.0;324.0;313.5;1000
20210630;340.0;356.0;350.5;324.0;7100
