Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20210602;7.0;7.0;7.0;7.02;1700
20210603;7.0;7.0;7.0;7.0;19500
20210604;7.0;7.0;7.0;7.0;23000
20210607;6.8;6.82;6.8;7.0;3400
20210608;7.3;7.3;7.3;6.8;100
20210609;6.8;6.82;6.8;7.3;7400
20210610;6.8;6.8;6.8;6.8;500
20210611;6.82;6.82;6.82;6.8;9900
20210614;6.6;6.82;6.7;6.82;9000
20210615;6.7;6.7;6.7;6.7;-
20210616;6.7;6.7;6.7;6.7;-
20210617;6.9;6.9;6.9;6.7;7100
20210618;7.04;7.42;7.24;6.9;400
20210621;7.92;7.94;7.92;7.24;12900
20210622;7.9;7.92;7.9;7.92;6200
20210623;7.92;7.94;7.92;7.9;800
20210624;7.92;8.7;8.24;7.92;42300
20210625;8.5;8.5;8.5;8.24;4500
20210628;8.5;9.0;8.74;8.5;24700
20210629;8.0;9.0;8.6;8.74;23100
20210630;8.5;8.7;8.66;8.6;1300
