Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20210802;7.7;8.3;8.02;7.86;35300
20210803;7.86;8.3;8.02;8.02;102700
20210804;8.0;8.2;8.02;8.02;12100
20210805;7.52;8.3;7.94;8.02;35900
20210806;7.6;8.28;7.9;7.94;124700
20210809;7.8;8.28;7.9;7.9;15100
20210810;7.8;8.28;8.02;7.9;98000
20210811;7.8;8.24;7.88;8.02;7500
20210812;7.7;8.28;7.9;7.88;67400
20210813;7.62;8.3;8.3;7.9;4574400
20210816;8.0;8.5;8.22;8.3;14700
20210817;8.0;8.3;8.04;8.22;26600
20210818;8.0;8.78;8.38;8.04;79700
20210819;8.2;8.5;8.2;8.38;4500
20210820;8.24;8.4;8.28;8.2;10500
20210823;8.04;8.4;8.18;8.28;38400
20210824;8.2;8.28;8.24;8.18;6400
20210825;8.04;8.38;8.22;8.24;21700
20210826;8.02;8.3;8.08;8.22;14500
20210827;8.02;8.2;8.12;8.08;16300
20210830;8.02;8.3;8.28;8.12;44600
20210831;8.02;8.4;8.18;8.28;59200
