Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20210802;1731.71;1731.71;1731.71;1726.47;-
20210803;1725.1;1725.1;1725.1;1731.71;-
20210804;1726.99;1726.99;1726.99;1725.1;-
20210805;1729.36;1729.36;1729.36;1726.99;-
20210806;1746.09;1746.09;1746.09;1729.36;-
20210809;1751.2;1751.2;1751.2;1746.09;-
20210810;1750.24;1750.24;1750.24;1751.2;-
20210811;1748.75;1748.75;1748.75;1750.24;-
20210812;1750.34;1750.34;1750.34;1748.75;-
20210813;1759.23;1759.23;1759.23;1750.34;-
20210816;1766.86;1766.86;1766.86;1759.23;-
20210817;1810.43;1810.43;1810.43;1766.86;-
20210818;1812.1;1812.1;1812.1;1810.43;-
20210819;1782.0;1782.0;1782.0;1812.1;-
20210820;1789.99;1789.99;1789.99;1782.0;-
20210823;1797.61;1797.61;1797.61;1789.99;-
20210824;1795.7;1795.7;1795.7;1797.61;-
20210825;1789.28;1789.28;1789.28;1795.7;-
20210826;1797.94;1797.94;1797.94;1789.28;-
20210827;1800.36;1800.36;1800.36;1797.94;-
20210830;1793.11;1793.11;1793.11;1800.36;-
20210831;1768.16;1768.16;1768.16;1793.11;-
