Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20211101;1500.0;1500.0;1500.0;1500.0;-
20211102;1500.0;1500.0;1500.0;1500.0;-
20211103;1500.0;1500.0;1500.0;1500.0;-
20211104;1500.0;1500.0;1500.0;1500.0;-
20211105;1500.0;1500.0;1500.0;1500.0;-
20211108;1500.0;1500.0;1500.0;1500.0;-
20211109;1500.0;1500.0;1500.0;1500.0;-
20211110;1500.0;1500.0;1500.0;1500.0;-
20211111;1500.0;1500.0;1500.0;1500.0;-
20211112;1500.0;1500.0;1500.0;1500.0;-
20211115;1500.0;1500.0;1500.0;1500.0;-
20211116;1500.0;1500.0;1500.0;1500.0;-
20211117;1500.0;1500.0;1500.0;1500.0;-
20211118;1500.0;1500.0;1500.0;1500.0;-
20211119;1500.0;1500.0;1500.0;1500.0;-
20211122;1500.0;1500.0;1500.0;1500.0;-
20211123;1500.0;1500.0;1500.0;1500.0;-
20211124;1500.0;1500.0;1500.0;1500.0;-
20211125;1500.0;1500.0;1500.0;1500.0;-
20211126;1500.0;1500.0;1500.0;1500.0;-
20211129;1500.0;1500.0;1500.0;1500.0;-
20211130;1500.0;1500.0;1500.0;1500.0;-
