Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20220103;4.53;4.53;4.53;4.53;-
20220104;4.53;4.53;4.53;4.53;-
20220105;4.53;4.53;4.53;4.53;-
20220106;4.53;4.53;4.53;4.53;-
20220107;4.53;4.53;4.53;4.53;-
20220110;4.53;4.53;4.53;4.53;-
20220111;4.53;4.53;4.53;4.53;-
20220112;4.53;4.53;4.53;4.53;-
20220113;4.53;4.53;4.53;4.53;-
20220114;4.53;4.53;4.53;4.53;-
20220117;4.53;4.53;4.53;4.53;-
20220118;4.53;4.53;4.53;4.53;-
20220119;4.53;4.53;4.53;4.53;-
20220120;4.53;4.53;4.53;4.53;-
20220121;4.53;4.53;4.53;4.53;-
20220124;4.53;4.53;4.53;4.53;-
20220125;4.53;4.53;4.53;4.53;-
20220126;4.53;4.53;4.53;4.53;-
20220127;4.53;4.53;4.53;4.53;-
20220128;4.53;4.53;4.53;4.53;-
20220131;4.53;4.53;4.53;4.53;-
