Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20220103;1.69;1.8;1.74;1.75;1400200
20220104;1.72;1.75;1.74;1.74;256400
20220105;1.7;1.79;1.71;1.74;428700
20220106;1.7;1.75;1.72;1.71;276500
20220107;1.7;1.75;1.72;1.72;637700
20220110;1.7;1.73;1.71;1.72;202000
20220111;1.69;1.73;1.71;1.71;214900
20220112;1.65;1.72;1.69;1.71;351800
20220113;1.65;1.7;1.67;1.69;701900
20220114;1.68;1.7;1.69;1.67;471200
20220117;1.55;1.71;1.67;1.69;185500
20220118;1.56;1.71;1.62;1.67;1123600
20220119;1.62;1.69;1.63;1.62;123600
20220120;1.6;1.67;1.64;1.63;540600
20220121;1.6;1.7;1.61;1.64;291400
20220124;1.57;1.6;1.59;1.61;191300
20220125;1.5;1.6;1.57;1.59;399800
20220126;1.53;1.6;1.57;1.57;117200
20220127;1.55;1.6;1.56;1.57;267100
20220128;1.55;1.58;1.56;1.56;209200
20220131;1.56;1.58;1.56;1.56;275700
