Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20220201;2.15;2.25;2.17;2.17;27400
20220202;2.15;2.2;2.16;2.17;48300
20220203;2.17;2.25;2.22;2.16;25400
20220204;2.25;2.25;2.25;2.22;32700
20220207;2.25;2.3;2.29;2.25;16500
20220208;2.15;2.3;2.2;2.29;66800
20220209;2.17;2.3;2.22;2.2;81800
20220210;2.18;2.27;2.21;2.22;36700
20220211;2.15;2.3;2.19;2.21;54500
20220214;2.15;2.3;2.29;2.19;75300
20220215;2.2;2.3;2.21;2.29;145300
20220216;2.15;2.3;2.16;2.21;140300
20220217;2.15;2.3;2.16;2.16;38900
20220218;2.15;2.3;2.15;2.16;216600
20220221;2.15;2.3;2.19;2.15;36700
20220222;2.16;2.3;2.18;2.19;23600
20220223;2.16;2.3;2.22;2.18;12200
20220224;2.15;2.3;2.16;2.22;111100
20220225;2.15;2.2;2.17;2.16;6700
20220228;2.12;2.2;2.15;2.17;298300
